date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:51:10	205706/205706	---M--	200	added ('OK')	image/png	date:Mon,%2002%20Mar%202020%2015:30:18%20GMT	https://www.mcadventuretime.com/dc/images/logu.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/logu.png	(from https://www.mcadventuretime.com/dc/)
10:51:10	257874/257874	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Mar%202020%2010:16:56%20GMT	https://www.mcadventuretime.com/dc/images/bg_1.jpg	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/images/bg_1.jpg	(from https://www.mcadventuretime.com/dc/)
10:51:11	113380/113380	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Mar%202020%2013:55:48%20GMT	https://www.muratkim.com/wp-content/uploads/2020/03/191125_Taylor_Swift_at_the_2019_American_Music_Awards-1-193x300.png	C:/My%20Web%20Sites/mc-at%20sitesi/www.muratkim.com/wp-content/uploads/2020/03/191125_Taylor_Swift_at_the_2019_American_Music_Awards-1-193x300.png	(from https://www.mcadventuretime.com/dc/)
10:51:11	8570/8570	---M--	200	added ('OK')	image/jpeg	date:Fri,%2020%20Mar%202020%2019:01:39%20GMT	https://www.muratkim.com/wp-content/uploads/2020/03/chocolate-cake-on-white-ceramic-plate-3840200-300x169.jpg	C:/My%20Web%20Sites/mc-at%20sitesi/www.muratkim.com/wp-content/uploads/2020/03/chocolate-cake-on-white-ceramic-plate-3840200-300x169.jpg	(from https://www.mcadventuretime.com/dc/)
10:51:11	9830/9830	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Mar%202020%2022:15:47%20GMT	https://www.muratkim.com/wp-content/uploads/2020/03/nature-flowers-spring-cherry-72473-1-300x200.jpg	C:/My%20Web%20Sites/mc-at%20sitesi/www.muratkim.com/wp-content/uploads/2020/03/nature-flowers-spring-cherry-72473-1-300x200.jpg	(from https://www.mcadventuretime.com/dc/)
10:51:11	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e78dc8a-4d7%22	https://www.mcadventuretime.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:12	2390/2390	---M--	200	added ('OK')	image/png	etag:%2270d0a63aace6d11:0%22	https://images.dmca.com/Badges/dmca-badge-w100-5x1-11.png?ID=4343d962-8998-4411-bc06-fcede9834085	C:/My%20Web%20Sites/mc-at%20sitesi/images.dmca.com/Badges/dmca-badge-w100-5x1-11f1b9.png	(from https://www.mcadventuretime.com/dc/)
10:51:12	465/465	---M-Z	200	added ('OK')	application/javascript	etag:%2226b181f16d28d51:0%22	https://images.dmca.com/Badges/DMCABadgeHelper.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/images.dmca.com/Badges/DMCABadgeHelper.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:13	268038/268038	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:14%20GMT	https://www.mcadventuretime.com/dc/js/jquery.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/jquery.min.js	(from https://www.mcadventuretime.com/dc/)
10:51:13	11421/11421	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Mar%202020%2010:17:12%20GMT	https://www.mcadventuretime.com/dc/js/jquery-migrate-3.0.1.min.js	C:/My%20Web%20Sites/mc-at%20sitesi/www.mcadventuretime.com/dc/js/jquery-migrate-3.0.1.min.js	(from https://www.mcadventuretime.com/dc/)
